t,phase,x_true,y_true,motion_true,amp_true
5.8000,calm,0.00004,0.00482,0.00590,0.01000
5.8333,calm,-0.00052,0.00492,0.00601,0.01000
5.8667,calm,-0.00109,0.00501,0.00611,0.01000
5.9000,calm,-0.00166,0.00509,0.00622,0.01000
5.9333,calm,-0.00223,0.00517,0.00632,0.01000
5.9667,calm,-0.00280,0.00523,0.00641,0.01000
6.0000,stir_left,0.00000,0.03543,0.02472,0.10000
6.0333,stir_left,0.02484,0.04251,0.03952,0.10000
6.0667,stir_left,0.04807,0.04816,0.05254,0.10000
6.1000,stir_left,0.06822,0.05220,0.06298,0.10000
6.1333,stir_left,0.08402,0.05449,0.07018,0.10000
6.1667,stir_left,0.09446,0.05494,0.07371,0.10000
6.2000,stir_left,0.09888,0.05355,0.07354,0.10000
6.2333,stir_left,0.09698,0.05036,0.07281,0.10000
6.2667,stir_left,0.08885,0.04549,0.07564,0.10000
6.3000,stir_left,0.07499,0.03908,0.08190,0.10000
6.3333,stir_left,0.05625,0.03137,0.09097,0.10000
6.3667,stir_left,0.03376,0.02260,0.10203,0.10000
6.4000,stir_left,0.00891,0.01307,0.11416,0.10000
6.4333,stir_left,-0.01678,0.00311,0.12637,0.10000
6.4667,stir_left,-0.04172,-0.00696,0.13767,0.10000
6.5000,stir_left,-0.06439,-0.01680,0.14719,0.10000
6.5333,stir_left,-0.08342,-0.02607,0.15414,0.10000
6.5667,stir_left,-0.09765,-0.03447,0.15796,0.10000
6.6000,stir_left,-0.10624,-0.04171,0.15839,0.10000
6.6333,stir_left,-0.10871,-0.04755,0.15581,0.10000
6.6667,stir_left,-0.10494,-0.05180,0.15292,0.10000
6.7000,stir_left,-0.09525,-0.05430,0.15281,0.10000
6.7333,stir_left,-0.08029,-0.05498,0.15574,0.10000
6.7667,stir_left,-0.06107,-0.05382,0.16117,0.10000
6.8000,stir_left,-0.03887,-0.05085,0.16831,0.10000
6.8333,stir_left,-0.01515,-0.04618,0.17624,0.10000
6.8667,stir_left,0.00854,-0.03995,0.18404,0.10000
6.9000,stir_left,0.03061,-0.03238,0.19082,0.10000
6.9333,stir_left,0.04963,-0.02373,0.19581,0.10000
6.9667,stir_left,0.06430,-0.01428,0.19851,0.10000
7.0000,stir_left,0.07362,-0.00435,0.19874,0.10000
7.0333,stir_left,0.07693,0.00573,0.19713,0.10000
7.0667,stir_left,0.07393,0.01561,0.19540,0.10000
7.1000,stir_left,0.06472,0.02497,0.19547,0.10000
7.1333,stir_left,0.04979,0.03349,0.19801,0.10000
7.1667,stir_left,0.02998,0.04089,0.20288,0.10000
7.2000,stir_left,0.00644,0.04691,0.20947,0.10000
7.2333,stir_left,-0.01945,0.05136,0.21701,0.10000
7.2667,stir_left,-0.04617,0.05409,0.22459,0.10000
7.3000,stir_left,-0.07213,0.05500,0.23133,0.10000
7.3333,stir_left,-0.09582,0.05406,0.23640,0.10000
7.3667,stir_left,-0.11584,0.05131,0.23912,0.10000
7.4000,stir_left,-0.13106,0.04684,0.23908,0.10000
7.4333,stir_left,-0.14063,0.04079,0.23625,0.10000
7.4667,stir_left,-0.14406,0.03338,0.23161,0.10000
7.5000,stir_left,-0.14125,0.02484,0.22766,0.10000
7.5333,stir_left,-0.13250,0.01547,0.22621,0.10000
7.5667,stir_left,-0.11847,0.00559,0.22749,0.10000
7.6000,stir_left,-0.10018,-0.00449,0.23099,0.10000
7.6333,stir_left,-0.07888,-0.01442,0.23594,0.10000
7.6667,stir_left,-0.05606,-0.02386,0.24143,0.10000
7.7000,stir_left,-0.03327,-0.03250,0.24650,0.10000
7.7333,stir_left,-0.01207,-0.04005,0.25022,0.10000
7.7667,stir_left,0.00607,-0.04625,0.25174,0.10000
7.8000,stir_left,0.01989,-0.05091,0.25039,0.10000
7.8333,stir_left,0.02836,-0.05385,0.24567,0.10000
7.8667,stir_left,0.03084,-0.05499,0.23731,0.10000
7.9000,stir_left,0.02702,-0.05428,0.23001,0.10000
7.9333,stir_left,0.01699,-0.05175,0.22695,0.10000
7.9667,stir_left,0.00126,-0.04748,0.22767,0.10000
8.0000,stir_left,-0.01935,-0.04162,0.23149,0.10000
8.0333,stir_left,-0.04367,-0.03436,0.23758,0.10000
8.0667,stir_left,-0.07033,-0.02595,0.24500,0.10000
8.1000,stir_left,-0.09780,-0.01666,0.25275,0.10000
8.1333,stir_left,-0.12452,-0.00682,0.25986,0.10000
8.1667,stir_left,-0.14894,0.00325,0.26543,0.10000
8.2000,stir_left,-0.16969,0.01321,0.26869,0.10000
8.2333,stir_left,-0.18563,0.02273,0.26909,0.10000
8.2667,stir_left,-0.19590,0.03149,0.26637,0.10000
8.3000,stir_left,-0.20002,0.03919,0.26084,0.10000
8.3333,stir_left,-0.19790,0.04557,0.25432,0.10000
8.3667,stir_left,-0.18982,0.05042,0.24971,0.10000
8.4000,stir_left,-0.17645,0.05358,0.24792,0.10000
8.4333,stir_left,-0.15881,0.05495,0.24864,0.10000
8.4667,stir_left,-0.13816,0.05447,0.25114,0.10000
8.5000,stir_left,-0.11597,0.05216,0.25455,0.10000
8.5333,stir_left,-0.09379,0.04810,0.25796,0.10000
8.5667,stir_left,-0.07320,0.04242,0.26051,0.10000
8.6000,stir_left,-0.05565,0.03532,0.26146,0.10000
8.6333,stir_left,-0.04243,0.02704,0.26035,0.10000
8.6667,stir_left,-0.03452,0.01785,0.25714,0.10000
8.7000,stir_left,-0.03261,0.00805,0.25275,0.10000
8.7333,stir_left,-0.03699,-0.00201,0.24916,0.10000
8.7667,stir_left,-0.04756,-0.01200,0.24789,0.10000
8.8000,stir_left,-0.06382,-0.02159,0.24933,0.10000
8.8333,stir_left,-0.08495,-0.03046,0.25318,0.10000
8.8667,stir_left,-0.10978,-0.03830,0.25879,0.10000
8.9000,stir_left,-0.13694,-0.04486,0.26534,0.10000
8.9333,stir_left,-0.16490,-0.04991,0.27190,0.10000
8.9667,stir_left,-0.19209,-0.05329,0.27758,0.10000
9.0000,stir_left,-0.21698,-0.05488,0.28152,0.10000
9.0333,stir_left,-0.23819,-0.05462,0.28301,0.10000
9.0667,stir_left,-0.25457,-0.05254,0.28157,0.10000
9.1000,stir_left,-0.26528,-0.04869,0.27704,0.10000
9.1333,stir_left,-0.26982,-0.04320,0.27010,0.10000
9.1667,stir_left,-0.26811,-0.03627,0.26345,0.10000
9.2000,stir_left,-0.26043,-0.02811,0.25955,0.10000
9.2333,stir_left,-0.24746,-0.01902,0.25866,0.10000
9.2667,stir_left,-0.23020,-0.00928,0.26024,0.10000
9.3000,stir_left,-0.20991,0.00076,0.26347,0.10000
9.3333,stir_left,-0.18808,0.01078,0.26743,0.10000
9.3667,stir_left,-0.16625,0.02044,0.27112,0.10000
9.4000,stir_left,-0.14600,0.02941,0.27362,0.10000
9.4333,stir_left,-0.12878,0.03740,0.27407,0.10000
9.4667,stir_left,-0.11586,0.04413,0.27180,0.10000
9.5000,stir_left,-0.10826,0.04938,0.26636,0.10000
9.5333,stir_left,-0.10665,0.05297,0.25790,0.10000
9.5667,stir_left,-0.11131,0.05478,0.25044,0.10000
9.6000,stir_left,-0.12214,0.05476,0.24685,0.10000
9.6333,stir_left,-0.13867,0.05289,0.24696,0.10000
9.6667,stir_left,-0.16004,0.04925,0.25015,0.10000
9.7000,stir_left,-0.18512,0.04396,0.25563,0.10000
9.7333,stir_left,-0.21250,0.03719,0.26247,0.10000
9.7667,stir_left,-0.24068,0.02918,0.26969,0.10000
9.8000,stir_left,-0.26808,0.02018,0.27634,0.10000
9.8333,stir_left,-0.29316,0.01051,0.28152,0.10000
9.8667,stir_left,-0.31456,0.00048,0.28449,0.10000
9.9000,stir_left,-0.33111,-0.00956,0.28473,0.10000
9.9333,stir_left,-0.34198,-0.01928,0.28204,0.10000
9.9667,stir_left,-0.34668,-0.02836,0.27678,0.10000
10.0000,stir_left,-0.34511,-0.03648,0.27055,0.10000
10.0333,stir_left,-0.33756,-0.04338,0.26577,0.10000
10.0667,stir_left,-0.32470,-0.04882,0.26347,0.10000
10.1000,stir_left,-0.30755,-0.05262,0.26347,0.10000
10.1333,stir_left,-0.28736,-0.05466,0.26514,0.10000
10.1667,stir_left,-0.26562,-0.05486,0.26763,0.10000
10.2000,stir_left,-0.24387,-0.05322,0.27006,0.10000
10.2333,stir_left,-0.22367,-0.04979,0.27158,0.10000
10.2667,stir_left,-0.20651,-0.04470,0.27146,0.10000
10.3000,stir_left,-0.19364,-0.03810,0.26923,0.10000
10.3333,stir_left,-0.18607,-0.03022,0.26493,0.10000
10.3667,stir_left,-0.18448,-0.02133,0.25965,0.10000
10.4000,stir_left,-0.18915,-0.01173,0.25559,0.10000
10.4333,stir_left,-0.19998,-0.00172,0.25419,0.10000
10.4667,stir_left,-0.21650,0.00833,0.25565,0.10000
10.5000,stir_left,-0.23785,0.01811,0.25960,0.10000
10.5333,stir_left,-0.26289,0.02728,0.26532,0.10000
10.5667,stir_left,-0.29024,0.03554,0.27198,0.10000
10.6000,stir_left,-0.31836,0.04260,0.27863,0.10000
10.6333,stir_left,-0.34569,0.04823,0.28434,0.10000
10.6667,stir_left,-0.37070,0.05224,0.28824,0.10000
10.7000,stir_left,-0.39201,0.05450,0.28960,0.10000
10.7333,stir_left,-0.40846,0.05493,0.28786,0.10000
10.7667,stir_left,-0.41922,0.05352,0.28275,0.10000
10.8000,stir_left,-0.42380,0.05031,0.27464,0.10000
10.8333,stir_left,-0.42210,0.04541,0.26660,0.10000
10.8667,stir_left,-0.41441,0.03899,0.26186,0.10000
10.9000,stir_left,-0.40141,0.03125,0.26043,0.10000
10.9333,stir_left,-0.38409,0.02247,0.26169,0.10000
10.9667,stir_left,-0.36373,0.01294,0.26477,0.10000
11.0000,stir_left,-0.34180,0.00297,0.26872,0.10000
11.0333,stir_left,-0.31985,-0.00710,0.27253,0.10000
11.0667,stir_left,-0.29945,-0.01693,0.27527,0.10000
11.1000,stir_left,-0.28207,-0.02620,0.27609,0.10000
11.1333,stir_left,-0.26897,-0.03458,0.27434,0.10000
11.1667,stir_left,-0.26117,-0.04180,0.26966,0.10000
11.2000,stir_left,-0.25932,-0.04762,0.26239,0.10000
11.2333,stir_left,-0.26373,-0.05184,0.25542,0.10000
11.2667,stir_left,-0.27430,-0.05432,0.25164,0.10000
11.3000,stir_left,-0.29053,-0.05498,0.25132,0.10000
11.3333,stir_left,-0.31159,-0.05379,0.25397,0.10000
11.3667,stir_left,-0.33633,-0.05080,0.25886,0.10000
11.4000,stir_left,-0.36336,-0.04610,0.26509,0.10000
11.4333,stir_left,-0.39116,-0.03985,0.27171,0.10000
11.4667,stir_left,-0.41815,-0.03227,0.27779,0.10000
11.5000,stir_left,-0.44281,-0.02360,0.28245,0.10000
11.5333,stir_left,-0.46376,-0.01414,0.28500,0.10000
11.5667,stir_left,-0.47985,-0.00421,0.28494,0.10000
11.6000,stir_left,-0.49023,0.00587,0.28217,0.10000
11.6333,stir_left,-0.49442,0.01575,0.27722,0.10000
11.6667,stir_left,-0.49231,0.02510,0.27177,0.10000
11.7000,stir_left,-0.48421,0.03360,0.26787,0.10000
11.7333,stir_left,-0.47078,0.04098,0.26632,0.10000
11.7667,stir_left,-0.45303,0.04699,0.26693,0.10000
11.8000,stir_left,-0.43223,0.05141,0.26905,0.10000
11.8333,stir_left,-0.40984,0.05411,0.27188,0.10000
11.8667,stir_left,-0.38743,0.05500,0.27451,0.10000
11.9000,stir_left,-0.36655,0.05404,0.27610,0.10000
11.9333,stir_left,-0.34868,0.05126,0.27590,0.10000
11.9667,stir_left,-0.33509,0.04677,0.27341,0.10000
12.0000,stir_left,-0.32677,0.04070,0.26855,0.10000
12.0333,stir_left,-0.32440,0.03327,0.26237,0.10000
12.0667,stir_left,-0.32828,0.02472,0.25741,0.10000
12.1000,stir_left,-0.33830,0.01534,0.25531,0.10000
12.1333,stir_left,-0.35399,0.00545,0.25624,0.10000
12.1667,stir_left,-0.37448,-0.00463,0.25976,0.10000
12.2000,stir_left,-0.39864,-0.01455,0.26515,0.10000
12.2333,stir_left,-0.42509,-0.02398,0.27151,0.10000
12.2667,stir_left,-0.45229,-0.03261,0.27790,0.10000
12.3000,stir_left,-0.47867,-0.04014,0.28336,0.10000
12.3333,stir_left,-0.50272,-0.04633,0.28699,0.10000
12.3667,stir_left,-0.52304,-0.05096,0.28804,0.10000
12.4000,stir_left,-0.53848,-0.05388,0.28591,0.10000
12.4333,stir_left,-0.54821,-0.05499,0.28023,0.10000
12.4667,stir_left,-0.55174,-0.05426,0.27100,0.10000
12.5000,stir_left,-0.54896,-0.05170,0.26225,0.10000
12.5333,stir_left,-0.54018,-0.04741,0.25753,0.10000
12.5667,stir_left,-0.52606,-0.04153,0.25639,0.10000
12.6000,stir_left,-0.50760,-0.03425,0.25807,0.10000
12.6333,stir_left,-0.48608,-0.02583,0.26169,0.10000
12.6667,stir_left,-0.46296,-0.01653,0.26626,0.10000
12.7000,stir_left,-0.43981,-0.00668,0.27079,0.10000
12.7333,stir_left,-0.41819,0.00339,0.27434,0.10000
12.7667,stir_left,-0.39956,0.01335,0.27608,0.10000
12.8000,stir_left,-0.38519,0.02286,0.27536,0.10000
12.8333,stir_left,-0.37609,0.03160,0.27185,0.10000
12.8667,stir_left,-0.37294,0.03928,0.26584,0.10000
12.9000,stir_left,-0.37601,0.04565,0.25931,0.10000
12.9333,stir_left,-0.38522,0.05048,0.25510,0.10000
12.9667,stir_left,-0.40008,0.05362,0.25398,0.10000
13.0000,stir_left,-0.41974,0.05495,0.25568,0.10000
13.0333,stir_left,-0.44305,0.05445,0.25952,0.10000
13.0667,stir_left,-0.46864,0.05211,0.26466,0.10000
13.1000,stir_left,-0.49497,0.04803,0.27017,0.10000
13.1333,stir_left,-0.52048,0.04233,0.27514,0.10000
13.1667,stir_left,-0.54363,0.03522,0.27874,0.10000
13.2000,stir_left,-0.56305,0.02692,0.28029,0.10000
13.2333,stir_left,-0.57759,0.01771,0.27939,0.10000
13.2667,stir_left,-0.58639,0.00792,0.27605,0.10000
13.3000,stir_left,-0.58899,-0.00214,0.27115,0.10000
13.3333,stir_left,-0.58527,-0.01214,0.26661,0.10000
13.3667,stir_left,-0.57553,-0.02172,0.26409,0.10000
13.4000,stir_left,-0.56044,-0.03057,0.26402,0.10000
13.4333,stir_left,-0.54100,-0.03840,0.26607,0.10000
13.4667,stir_left,-0.51850,-0.04494,0.26956,0.10000
13.5000,stir_left,-0.49438,-0.04997,0.27364,0.10000
13.5333,stir_left,-0.47023,-0.05332,0.27740,0.10000
13.5667,stir_left,-0.44758,-0.05489,0.27998,0.10000
13.6000,stir_left,-0.42792,-0.05461,0.28059,0.10000
13.6333,stir_left,-0.41251,-0.05250,0.27866,0.10000
13.6667,stir_left,-0.40236,-0.04862,0.27394,0.10000
13.7000,stir_left,-0.39814,-0.04312,0.26700,0.10000
13.7333,stir_left,-0.40014,-0.03616,0.26054,0.10000
13.7667,stir_left,-0.40827,-0.02799,0.25696,0.10000
13.8000,stir_left,-0.42203,-0.01889,0.25657,0.10000
13.8333,stir_left,-0.44058,-0.00915,0.25893,0.10000
13.8667,stir_left,-0.46278,0.00090,0.26328,0.10000
13.9000,stir_left,-0.48723,0.01092,0.26871,0.10000
13.9333,stir_left,-0.51243,0.02057,0.27426,0.10000
13.9667,stir_left,-0.53679,0.02953,0.27896,0.10000
14.0000,stir_strong,-0.50000,0.00000,0.29645,0.00000
14.0333,stir_strong,-0.49511,0.00472,0.28851,0.00972
14.0667,stir_strong,-0.48306,0.01063,0.28496,0.01944
14.1000,stir_strong,-0.47060,0.01544,0.28150,0.02917
14.1333,stir_strong,-0.46591,0.01692,0.27302,0.03889
14.1667,stir_strong,-0.47505,0.01353,0.26785,0.04861
14.2000,stir_strong,-0.49908,0.00474,0.27258,0.05833
14.2333,stir_strong,-0.53278,-0.00868,0.28366,0.06806
14.2667,stir_strong,-0.56573,-0.02472,0.29452,0.07778
14.3000,stir_strong,-0.58544,-0.04046,0.29794,0.08750
14.3333,stir_strong,-0.58167,-0.05251,0.29351,0.09722
14.3667,stir_strong,-0.55042,-0.05774,0.30093,0.10694
14.4000,stir_strong,-0.49637,-0.05387,0.32182,0.11667
14.4333,stir_strong,-0.43256,-0.04006,0.34865,0.12639
14.4667,stir_strong,-0.37722,-0.01721,0.37107,0.13611
14.5000,stir_strong,-0.34855,0.01200,0.38099,0.14583
14.5333,stir_strong,-0.35891,0.04343,0.38570,0.15556
14.5667,stir_strong,-0.41019,0.07203,0.40590,0.16528
14.6000,stir_strong,-0.49198,0.09266,0.43014,0.17500
14.6333,stir_strong,-0.58346,0.10100,0.45340,0.18472
14.6667,stir_strong,-0.65856,0.09433,0.47571,0.19444
14.7000,stir_strong,-0.69335,0.07217,0.48155,0.20417
14.7333,stir_strong,-0.67340,0.03653,0.48690,0.21389
14.7667,stir_strong,-0.59891,-0.00817,0.50784,0.22361
14.8000,stir_strong,-0.48600,-0.05567,0.52792,0.23333
14.8333,stir_strong,-0.36333,-0.09873,0.54719,0.24306
14.8667,stir_strong,-0.26476,-0.13023,0.56567,0.25278
14.9000,stir_strong,-0.21994,-0.14433,0.57134,0.26250
14.9333,stir_strong,-0.24542,-0.13750,0.56417,0.27222
14.9667,stir_strong,-0.33889,-0.10925,0.58196,0.28194
15.0000,stir_strong,-0.47852,-0.06240,0.59902,0.29167
15.0333,stir_strong,-0.62782,-0.00287,0.61538,0.30139
15.0667,stir_strong,-0.74513,0.06106,0.63108,0.31111
15.1000,stir_strong,-0.79507,0.11991,0.64614,0.32083
15.1333,stir_strong,-0.75901,0.16438,0.65482,0.33056
15.1667,stir_strong,-0.64134,0.18682,0.66890,0.34028
15.2000,stir_strong,-0.46963,0.18254,0.68242,0.35000
15.2333,stir_strong,-0.29301,0.14658,0.69538,0.35000
